yourlist:M201911176746803381A1F0E0DB47453E0216320D0D7341K	Entry
218953	Q6NXZ1
128748	Q5T4T6
124248	Q9BSJ1
106885	Q07960
130604	Q96AX2
129202	Q8ND24
107556	P02708
137488	Q5VZR2
42124	Q9NHC3
110041	O00410
113525	O15231
119328	Q53GQ0
277173	Q9USX1
247522	Q62940
120920	Q9P0K8
108109	Q9NYC9
115664	Q9Y239
112649	P42224
120112	Q01804
246940	P28480
204998	Q6R3M4
122262	Q9H3P7
126820	Q8NAB2
128002	Q8WWZ8
218067	Q9D1Q6
120644	Q9BXB1
31884	P35197
279970	O74175
119207	Q9Y3A6
201682	P70670
201682	Q60817
32650	P34216
111731	P21246
112740	Q15542
231927	Q8R2H9
125151	Q96J88
201483	O08989
279748	Q9P7U2
204536	Q80X41
35028	P40581
126590	Q56A73
127315	Q8WXC6
112525	Q13596
275877	O74503
106668	P30520
33579	P46985
118941	Q9NRL3
116264	O60938
133724	O76100
106816	Q13790
121103	Q9HCJ1
107836	P48729
112855	Q13569
138923	Q6ZRK6
204433	O70475
109912	P27987
609841	Q9Y6R9
116545	Q9Y2L5
119901	A4D1B5
121901	Q5T686
278500	P56287
119668	Q9Y576
109939	Q09470
198947	P67871
319735	Q29983
211970	Q9CY25
115442	Q13795
117452	Q69YN4
119285	Q9Y5J1
35231	P26448
111159	P20941
112217	P54253
121941	Q5VZE5
202964	P47708
121300	Q8NBL1
124263	Q8N2H3
119502	Q969H6
112681	P61764
109030	Q03113
32107	P14682
211432	Q3UM45
113410	Q06730
117549	Q7Z422
109652	P05156
123011	Q9BZ76
114493	O75146
126851	Q96MS3
109402	P17096
112908	Q15583
198491	O70589
114969	Q9Y2B5
204249	P25118
122021	Q96NK8
122534	Q9BQ49
211975	Q9CYG7
114682	Q9NR12
116856	Q5T2D3
125643	Q96DE5
119101	Q6ZMK1
198310	O35129
107931	Q16696
117335	O95238
114439	Q15751
228786	Q8BG87
109949	Q96PR1
109880	P17301
201716	Q9CQ75
115019	Q92539
120665	Q8IXQ4
129625	Q6SA08
116880	Q5JR59
33511	P53322
35841	Q00955
120502	A3KN83
119966	P82921
109515	O75506
251185	Q9R085
119276	Q59H18
121419	Q5T442
121873	Q6IA17
120255	Q9BUL9
116460	O00154
123661	Q8IYT4
113999	Q15075
111367	O00469
107283	P49589
31600	Q06132
212733	Q9DA39
200959	Q05816
108305	Q9UNI1
119664	Q9Y248
116681	Q6P996
277963	Q10414
110413	P10620
128745	Q8N6D2
106813	Q06278
120584	Q7Z6B0
122207	Q8IZ08
107852	P09228
32830	P38271
111791	Q99447
203010	P97351
110380	Q9Y6R4
106766	Q16671
122729	Q8IZ52
116188	Q13435
109121	O43194
115209	O94842
108410	P38117
249332	P17955
216504	Q99JY9
118132	Q15771
120799	Q5VZ89
115100	Q9Y5H5
117221	Q8IYD1
34021	P26793
592826	Q1L721
107567	Q04844
121919	P82673
128406	Q96QK8
117589	Q9UG01
112995	P09430
120423	Q9H6D3
113441	Q9UC06
112043	Q92901
111899	P05451
122939	Q1MSJ5
36673	P39984
111500	Q9UQK1
24736	P23686
109625	Q02535
128358	P0C2W1
111669	P28062
118996	Q9UI43
110641	P55157
225141	P62835
36142	Q02642
124247	Q9BSW2
118023	Q9UBL6
120839	Q9BZH6
35279	P18961
114225	O60499
115838	Q14919
199490	Q60902
127655	Q5VTQ0
114101	P16989
109835	P05111
112120	P25398
114475	Q9UGP4
109668	P32881
279922	Q10234
4197	Q5GM68
200766	Q60952
112935	Q99727
98488	P35567
110720	Q02045
123535	Q96LR9
234859	Q8BM85
